time,open,high,low,close,tick_volume,spread,real_volume
2021-12-10 02:00:00,0.92374,0.92406,0.92352,0.9238,494,0,0
2021-12-10 03:00:00,0.92387,0.92394,0.92333,0.92343,906,0,0
2021-12-10 04:00:00,0.92343,0.92389,0.92339,0.92359,531,1,0
2021-12-10 05:00:00,0.92359,0.92403,0.92353,0.92383,370,2,0
2021-12-10 06:00:00,0.92384,0.92416,0.92382,0.92403,467,0,0
2021-12-10 07:00:00,0.92401,0.9242,0.92385,0.92417,560,0,0
2021-12-10 08:00:00,0.92414,0.92465,0.92386,0.92446,1172,0,0
2021-12-10 09:00:00,0.92446,0.92523,0.92435,0.92435,1837,0,0
2021-12-10 10:00:00,0.92435,0.92465,0.92299,0.92382,2806,0,0
2021-12-10 11:00:00,0.9238,0.92422,0.92355,0.92382,1797,0,0
2021-12-10 12:00:00,0.92382,0.92494,0.92381,0.92456,1403,0,0
2021-12-10 13:00:00,0.92457,0.92523,0.9244,0.92486,1098,0,0
2021-12-10 14:00:00,0.92486,0.9249,0.92389,0.92409,1376,0,0
2021-12-10 15:00:00,0.92412,0.92536,0.92223,0.92323,4290,0,0
2021-12-10 16:00:00,0.92325,0.92383,0.92221,0.92263,4171,0,0
2021-12-10 17:00:00,0.92263,0.92267,0.92134,0.92189,3946,0,0
2021-12-10 18:00:00,0.92189,0.92199,0.91992,0.92073,2565,0,0
2021-12-10 19:00:00,0.92073,0.92098,0.92012,0.92036,1966,0,0
2021-12-10 20:00:00,0.92036,0.92069,0.92001,0.92064,1408,0,0
2021-12-10 21:00:00,0.92066,0.92098,0.92051,0.92097,649,0,0
2021-12-10 22:00:00,0.92098,0.92108,0.92076,0.92079,513,0,0
2021-12-10 23:00:00,0.92078,0.92086,0.92054,0.92061,344,0,0
2021-12-13 00:00:00,0.92099,0.92151,0.91994,0.92015,716,30,0
2021-12-13 01:00:00,0.92016,0.9213,0.92016,0.92127,691,4,0
2021-12-13 02:00:00,0.92127,0.92167,0.92121,0.92164,465,0,0
2021-12-13 03:00:00,0.92164,0.92186,0.92121,0.92161,471,0,0
2021-12-13 04:00:00,0.92165,0.92197,0.92151,0.92178,578,0,0
2021-12-13 05:00:00,0.92178,0.922,0.92173,0.92179,412,0,0
2021-12-13 06:00:00,0.92179,0.92206,0.92175,0.92185,350,1,0
2021-12-13 07:00:00,0.92185,0.92205,0.92163,0.92202,327,0,0
2021-12-13 08:00:00,0.92202,0.92256,0.92191,0.92255,798,0,0
2021-12-13 09:00:00,0.92253,0.92283,0.92223,0.92267,1115,0,0
2021-12-13 10:00:00,0.92267,0.92439,0.92265,0.92411,1436,0,0
2021-12-13 11:00:00,0.9241,0.92564,0.92407,0.92487,1963,0,0
2021-12-13 12:00:00,0.92488,0.92488,0.92409,0.92409,1904,0,0
2021-12-13 13:00:00,0.92415,0.92467,0.92374,0.92435,1962,0,0
2021-12-13 14:00:00,0.92435,0.92438,0.92294,0.92353,1863,0,0
2021-12-13 15:00:00,0.92353,0.92387,0.92216,0.92295,2553,0,0
2021-12-13 16:00:00,0.92296,0.9231,0.9216,0.92232,3333,0,0
2021-12-13 17:00:00,0.92232,0.92336,0.92157,0.9232,3831,0,0
2021-12-13 18:00:00,0.9232,0.92332,0.92121,0.92129,2309,0,0
2021-12-13 19:00:00,0.92128,0.9217,0.92062,0.92169,1878,0,0
2021-12-13 20:00:00,0.92169,0.92184,0.9213,0.92161,997,0,0
